پاسداران,ساقدوش(افشاري),35.761703,51.468823
یوسف آباد,خ 66,35.746189,51.399496
-,شهرك گلستان,35.752681,51.338289
کاشانی,شاهين جنوبي,35.649219,50.905065
توحيد,مهيار,35.779582,51.418713
پاسداران,بهارستان 10,35.677098,51.405701
شريعتي,كليم كاشاني,35.640105,51.415582
کاشانی,بلوار تعاون,35.706234,51.22316
شمس آباد,بهشتي,35.899514,51.526341
ستارخان,شوريده,35.725647,51.367802
ستارخان,شقايق,35.627316,51.375098
اشرفي اصفهاني,كمالي,35.818503,51.481508
چیذر,پائين تر از مسجد قائم,35.836673,50.990783
طالقاني,جنب هتل انقلاب,35.713105,51.408403
خواجه عبدالله,برخيابان,35.744333,51.456208
الهيه,دشتي,35.680909,51.379954
-,همت غرب,33.556392,52.47556
دارآباد,افتخاري,35.815191,51.48946
میدان نور,پيامبر غربي,35.737058,51.317817
شريعتي,زمرد(ناطق نوري),35.814509,51.530181
کاشانی,سرو,35.736696,51.290181
سعادت آباد,خ 15,35.776242,51.364661
-,سبلان شمالي,35.782281,51.326179
جنت آباد,بالاتر از نيايش,35.716972,51.365734
پونك,شهرك نفت,35.795115,51.520378
سعادت آباد,پويش,35.68859,52.024874
کاشانی,گلها,35.605339,51.427677
عباس آباد,ميترا( کاووسی فر),35.697867,51.397269
یوسف آباد,ميدان كلانتري,35.730861,51.403369
سهروردی شمالی,برازنده,35.742494,51.440357
-,نظام آباد,35.709345,51.459832
شريعتي,روبروي حسينيه ارشاد,35.7569228,51.4477104
یوسف آباد,مستوفي,35.688782,51.454181
شيراز,رضوان,35.808034,51.504185
دربند,ابتداي دربند,35.823329,51.425052
صدر,ميدان پيروز,35.691262,51.469711
ميرداماد,بر ميرداماد,35.7600179,51.4456988
سهروردی شمالی,برخيابان,35.73329,51.439994
فرمانيه,باغ نظر,35.812194,51.466099
قيطريه,حكمت,36.294591,50.007912
نياوران,آهنگ,35.484002,51.076425
ظفر,آرش,35.755809,51.33932
جردن,خرسند,35.634659,51.408812
شريعتي,سرباز,35.690323,51.39338
اميرآباد,خ 1,35.76807,51.448618
رسالت,خ 156,35.731209,51.523462
آل احمد,ارمكان,35.610263,51.425325
اقدسيه,گلستان شمالي,35.72486,51.32169
جنت آباد,بالاتر از همت,35.596023,51.430382
میدان نور,ستاري,35.877942,50.978556
شهران,اسحاقي,35.675435,51.036597
شهرك غرب,پونك باختري,35.756414,51.375859
چمران,آتي ساز,35.754368,51.153446
سعادت آباد,خ 2,35.787226,51.378844
سعادت آباد,حاجي پورامير (پاك شمالي),35.733407,51.579446
اشرفي اصفهاني,نسترن 2,35.471783,51.070094
ازگل,كامران,35.679974,51.399785
-,دهكده المپيك,35.749399,51.263953
اشرفي اصفهاني,نرسيده به همت,35.745387,50.947309
اشرفي اصفهاني,بوستان,35.75956,51.203224
پاسداران,مبارك آباد,35.76563,51.475634
شريعتي,3 راه طالقاني,35.7314196,51.445123
جنت آباد,شهرك مبعث,35.743099,50.938539
آل احمد,حاجي پور امير(پاك شمالي),35.692782,51.344387
وليعصر,بالاتر از لوكس طلائي,35.806017,50.88734
اميرآباد,اكبري,35.670599,51.365978
کاشانی,اباذر,35.689124,51.403494
سعادت آباد,سرو غربي,35.736728,51.288713
میدان نور,مطهري,35.828583,50.996706
سعادت آباد,صرافها,35.670346,51.42394
خواجه عبدالله,خ 20,35.747843,51.453861
نياوران,عرفاني,35.708871,51.375263
یوسف آباد,خ 2/42,35.721681,51.402362
اميرآباد,خ 2,35.736122,51.430987
مطهري,بر مطهري( تخت طاووس),35.724235,51.42919
آجودانيه,خ 2,35.807425,51.486104
پاسداران,سروستان 5,35.743599,51.30893
شهرآراء,گل افرا,35.712395,51.368266
سعادت آباد,بر سعادت آباد,35.786327,51.381104
نياوران,مهماندوست,35.815922,51.470221
نياوران,روبروي پمپ بنزين,35.812565,51.455813
